2025-10-13 12:18:43 [background-preinit] INFO  o.h.validator.internal.util.Version [Version.java:21] - HV000001: Hibernate Validator 8.0.3.Final
2025-10-13 12:18:44 [main] INFO  c.e.a.AfangUserBackendApplication [StartupInfoLogger.java:53] - Starting AfangUserBackendApplication using Java 21.0.8 with PID 32632 (E:\coding\AFang\backend\afang-user\target\classes started by Lenovo in E:\coding\AFang\backend\afang-user)
2025-10-13 12:18:44 [main] INFO  c.e.a.AfangUserBackendApplication [SpringApplication.java:652] - No active profile set, falling back to 1 default profile: "default"
2025-10-13 12:18:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:294] - Multiple Spring Data modules found, entering strict repository configuration mode
2025-10-13 12:18:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:145] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-10-13 12:18:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:213] - Finished Spring Data repository scanning in 29 ms. Found 0 Redis repository interfaces.
2025-10-13 12:18:46 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:111] - Tomcat initialized with port 9999 (http)
2025-10-13 12:18:46 [main] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:168] - Initializing ProtocolHandler ["http-nio-9999"]
2025-10-13 12:18:46 [main] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java:168] - Starting service [Tomcat]
2025-10-13 12:18:46 [main] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java:168] - Starting Servlet engine: [Apache Tomcat/10.1.46]
2025-10-13 12:18:46 [main] INFO  o.a.c.c.C.[.[localhost].[/api] [DirectJDKLog.java:168] - Initializing Spring embedded WebApplicationContext
2025-10-13 12:18:46 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:301] - Root WebApplicationContext: initialization completed in 2212 ms
2025-10-13 12:18:47 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver [EndpointLinksResolver.java:60] - Exposing 1 endpoint beneath base path '/actuator'
2025-10-13 12:18:47 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer [InitializeUserDetailsBeanManagerConfigurer.java:110] - Global AuthenticationManager configured with UserDetailsService bean with name commonUserServiceImpl
2025-10-13 12:18:48 [main] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:168] - Starting ProtocolHandler ["http-nio-9999"]
2025-10-13 12:18:48 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:243] - Tomcat started on port 9999 (http) with context path '/api'
2025-10-13 12:18:48 [main] INFO  c.e.a.AfangUserBackendApplication [StartupInfoLogger.java:59] - Started AfangUserBackendApplication in 5.061 seconds (process running for 6.011)
2025-10-13 12:18:48 [RMI TCP Connection(2)-192.168.31.203] INFO  o.a.c.c.C.[.[localhost].[/api] [DirectJDKLog.java:168] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-13 12:18:48 [RMI TCP Connection(2)-192.168.31.203] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:532] - Initializing Servlet 'dispatcherServlet'
2025-10-13 12:18:48 [RMI TCP Connection(3)-192.168.31.203] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:109] - HikariPool-1 - Starting...
2025-10-13 12:18:48 [RMI TCP Connection(2)-192.168.31.203] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:554] - Completed initialization in 2 ms
2025-10-13 12:18:49 [RMI TCP Connection(3)-192.168.31.203] INFO  com.zaxxer.hikari.pool.HikariPool [HikariPool.java:580] - HikariPool-1 - Added connection com.p6spy.engine.wrapper.ConnectionWrapper@2abcd46a
2025-10-13 12:18:49 [RMI TCP Connection(3)-192.168.31.203] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:122] - HikariPool-1 - Start completed.
2025-10-13 13:16:31 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown [GracefulShutdown.java:54] - Commencing graceful shutdown. Waiting for active requests to complete
2025-10-13 13:16:31 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown [GracefulShutdown.java:76] - Graceful shutdown complete
2025-10-13 13:16:31 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:349] - HikariPool-1 - Shutdown initiated...
2025-10-13 13:16:31 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:351] - HikariPool-1 - Shutdown completed.
